Source,Protein,UniProt,Species,Domain Start,Domain Stop,Length (aa),Class,Class (new),Mods,Evidence,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3412965/,UBE2U,Q5VVX9,Human,4,153,150,UBL,E2 UBL,E2,In vitro,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3412965/,UBE2N,P61088,Human,1,152,152,UBL,E2 UBL,E2,In vitro,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3412965/,UBE2E1,P51965,Human,1,193,193,UBL,E2 UBL,E2,In vitro,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3412965/,UBE2B,P63146,Human,1,152,152,UBL,E2 UBL,E2,In vitro,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3412965/,UBE2D3,P61077,Human,1,147,147,UBL,E2 UBL,E2,In vitro,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3412965/,UBE2D2,P62837,Human,1,147,147,UBL,E2 UBL,E3,In vitro,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3412965/,UBE2A,P49459,Human,1,152,152,UBL,E2 UBL,E2,In vitro,,,
https://www.sciencedirect.com/science/article/pii/S0022283616303394?via%3Dihub,RNF40,O75150,Human,902,1001,100,UBL,E3 UBL,E3 H2BK120ub1,In vitro,Extend domain to 100aa,,
https://www.sciencedirect.com/science/article/pii/S0022283616303394?via%3Dihub,RNF20,Q5VTR2,Human,876,975,100,UBL,E3 UBL,E3 H2BK120ub1,In vitro,Extend domain to 100aa,,
https://www.embopress.org/doi/full/10.1038/sj.emboj.7601144,RNF2,Q99496,Human,1,117,117,UBL,E3 UBL,E3 H2AK119ub,In vitro,,,
https://www.embopress.org/doi/full/10.1038/sj.emboj.7601144,RING1,Q06587,Human,1,111,111,UBL,E3 UBL,E3 H2AK119ub,In vitro,,,
https://www.embopress.org/doi/full/10.1038/sj.emboj.7601144,BMI1,P35226,Human,1,109,109,UBL,E3 UBL,E3 H2AK119ub,In vitro,,,
https://www.sciencedirect.com/science/article/pii/S1097276510000389?via%3Dihub#bib40,RAG1,P15918,Human,1,384,384,UBL,E3 UBL,E3 H3ub,In vitro,http://genesdev.cshlp.org/content/17/5/581.full.pdf+html,,
https://www.jbc.org/article/S0021-9258(20)68602-1/fulltext,DTX3L,Q8TDB6,Human,555,740,186,UBL,E3 UBL,E3 H4K91ub1,"Predicted, In vitro (full length and RING deletion only)",,,
https://www.sciencedirect.com/science/article/pii/S1097276518308001?via%3Dihub#mmc1,UHRF1,Q96T88,Human,675,793,119,UBL,E3 UBL,E3 H3ub,In vitro,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3497971/,UBR5,O95071,Human,2687,2799,113,UBL,E3 UBL,E3 H2Aub,In vitro,,,
